last_name, first_name,player_id,year,p_k_percent,p_bb_percent,p_win,p_loss,groundballs_percent,flyballs_percent,ff_avg_spin,n_fastball_formatted,fastball_avg_spin,fastball_avg_break_x,n_breaking_formatted,breaking_avg_spin,
McHugh, Collin,543521,2022,27.6,5.1,3,2,40.4,24.2,2333,48.8,2508,0.6,51.2,2785,
Milone, Tommy,543548,2022,7.2,8.7,1,1,28.1,38.6,2205,42,2205,6.5,19.3,2402,
Odorizzi, Jake,543606,2022,19.0,7.7,6,6,32.2,30.4,2144,72.2,2124,-6.2,11.1,2116,
Shaw, Bryan,543766,2022,19.9,10.0,6,2,49.2,22.3,,82.7,2380,3.5,14.4,2382,
Weber, Ryan,543901,2022,8.1,2.7,0,0,60.6,21.2,,55.9,2064,-17.8,37,2345,
Banuelos, Manny,544365,2022,24.0,12.0,2,1,54.1,18.3,2049,41.4,1934,13.8,48.6,2442,
Familia, Jeurys,544727,2022,20.1,10.8,2,3,48.9,21.6,2297,70.4,2227,-13.7,15.1,2185,
Head, Louis,545343,2022,18.8,10.9,0,0,29.7,33,2173,40.1,2173,-5.5,55.5,2624,
Poteet, Cody,547001,2022,18.4,9.6,0,1,52.4,28,2343,37.5,2294,-9.1,24.3,2809,
Lorenzen, Michael,547179,2022,20.7,10.7,8,6,51.1,22.3,2439,55,2376,-11.5,22.7,2498,
Ryu, Hyun Jin,547943,2022,14.2,3.5,2,0,46.2,26.9,1959,55.2,1959,10,21,2530,
Chapman, Aroldis,547973,2022,26.9,17.5,4,4,35.6,28.7,2362,60.5,2368,5.1,24.6,2282,
Raley, Brooks,548384,2022,27.9,6.8,1,2,38.7,24.1,2334,42.1,2420,7.3,38.3,2940,
Stripling, Ross,548389,2022,20.7,3.7,10,4,44.4,24.1,2124,41.2,2102,-6.5,31.6,2324,
Kittredge, Andrew,552640,2022,18.7,2.7,3,1,45.8,32.2,2623,59.2,2405,-12.4,40.8,2658,
Garcia, Yimi,554340,2022,23.5,6.5,4,5,40.2,31.4,2456,58.4,2406,-11.5,34.3,2572,
Wheeler, Zack,554430,2022,26.9,5.6,12,7,46.4,23.8,2390,59.4,2341,-11.2,38.8,2519,
Matzek, Tyler,554431,2022,19.6,15.8,4,2,35,35,2444,76.7,2444,3.8,23.3,2807,
Rodriguez, Joely,570257,2022,26.4,12.0,2,4,54.5,17.4,2019,55.2,1964,16.7,5.9,2260,
Valdez, Phillips,570488,2022,18.1,9.7,0,1,56.5,17.4,,44.9,2378,-19.8,9.1,2323,
Urena, Jose,570632,2022,14.6,10.0,3,8,50.5,20.6,2149,59.3,2185,-14,24.4,2324,
Robles, Hansel,570663,2022,18.9,12.6,1,3,39.5,27.6,2306,50.5,2306,-14.7,32.9,2287,
Cessa, Luis,570666,2022,17.6,8.3,4,4,49.8,21.9,2297,42,2242,-11.3,38.9,2528,
Appel, Mark,571446,2022,12.5,7.5,0,0,53.1,15.6,,75.2,1892,-14.3,20.1,1793,
Bellatti, Andrew,571479,2022,33.9,10.9,4,4,28.6,34.9,2436,40.4,2436,-10.5,52.4,2398,
Boyd, Matthew,571510,2022,24.5,15.1,2,0,45.2,25.8,2482,47.4,2461,12.9,33.9,2409,
Corbin, Patrick,571578,2022,18.0,6.9,6,19,45.4,24,2120,62.3,2085,12.5,29.4,2184,
Farmer, Buck,571656,2022,27.1,12.6,2,2,43.7,20.2,2325,44.6,2325,-10.1,31.4,2688,
Floro, Dylan,571670,2022,21.8,6.8,1,3,44.6,23.6,2177,63,2149,-14.4,21.9,1891,
Givens, Mychal,571710,2022,27.3,9.6,7,3,43.4,23.3,2426,51.5,2426,-6.9,29.8,2575,
Heaney, Andrew,571760,2022,35.5,6.1,4,4,37.2,31.4,2442,62.5,2442,14.8,32.4,2583,
Hutchison, Drew,571800,2022,14.7,9.1,3,9,40.3,26.7,2258,52.6,2267,-5.3,37.1,2582,
Law, Derek,571882,2022,18.5,8.7,2,3,49.2,20,2105,72.7,2261,-0.7,24.4,2233,
Loup, Aaron,571901,2022,20.0,8.5,0,5,50.6,21.3,,84.7,2212,11,2.8,2343,
Matz, Steven,571927,2022,26.1,4.8,5,3,38.3,24.1,,48.5,2260,15.4,22.6,2347,
Mikolas, Miles,571945,2022,19.0,4.8,12,13,45.9,25.2,2292,49.7,2265,-8.7,46.3,2460,
Miller, Shelby,571946,2022,46.7,10.0,0,1,23.1,53.8,2338,44.9,2338,-8.9,55.1,2500,
Milner, Hoby,571948,2022,23.5,5.5,3,3,51.1,23.1,1974,47,1988,18.3,32.7,1887,
Richards, Garrett,572070,2022,19.5,7.0,1,1,51.9,22.6,2310,25.3,2311,0.3,40,2619,
Selman, Sam,572125,2022,24.0,6.7,0,0,33.3,39.2,2173,52.9,2174,3.4,47.1,2329,
Tepera, Ryan,572193,2022,20.3,8.6,5,4,41.7,30.7,2224,48.3,2210,-10.3,42.8,2319,
VerHagen, Drew,572403,2022,17.0,13.2,3,1,35.6,26,2371,48.9,2370,-8,35.3,2276,
Bard, Luke,572703,2022,13.6,11.9,1,1,42.9,21.4,2570,53.1,2611,-7.4,42.3,2738,
Johnson, Pierce,572955,2022,32.8,12.5,1,2,57.1,17.1,2172,38.6,2172,-11.8,61.4,2881,
Keuchel, Dallas,572971,2022,14.9,10.2,2,9,50.7,20.3,2185,65.8,2017,10.3,8,2316,
Mantiply, Joe,573009,2022,25.1,2.5,2,5,55.5,15.6,2208,43.8,2190,18.1,30.2,2336,
Rogers, Taylor,573124,2022,30.7,6.9,4,8,43.1,27.5,2223,42.9,2168,17,57.1,2693,
Stroman, Marcus,573186,2022,20.9,6.3,6,7,52,18.8,2425,61.7,2351,-6,26.4,2672,
Thielbar, Caleb,573204,2022,32.7,7.3,4,3,30.6,34,2298,49.4,2298,3.2,49.5,2412,
Minaya, Juan,573668,2022,24.4,11.1,1,0,53.8,26.9,2219,47.7,2219,-9.4,15.5,2162,
Kikuchi, Yusei,579328,2022,27.3,12.8,6,7,44.5,24,2270,55.9,2269,10.4,30.7,2353,
Adam, Jason,592094,2022,31.6,7.2,2,3,44.2,24.6,2654,32.1,2654,-6.9,35.8,2719,
Brice, Austin,592169,2022,18.5,11.1,0,0,52.6,15.8,2231,52.8,2146,-15,47.2,2748,
Gausman, Kevin,592332,2022,28.3,3.9,12,10,40.1,26.3,2265,48.8,2265,-10.5,14.5,2198,
Gonzalez, Chi Chi,592346,2022,15.2,7.1,0,1,40.3,32.5,2287,50.8,2240,-7.1,34,2539,
Gray, Jon,592351,2022,25.7,7.5,7,7,44.2,24.9,2015,50.5,2015,-11.4,40.2,2480,
Hembree, Heath,592390,2022,15.9,15.9,3,1,26,31.5,2320,52,2320,-8.7,48,2645,
Kahnle, Tommy,592454,2022,30.4,6.5,0,0,69.2,23.1,2139,23.6,2139,-4.9,,,
Kolarek, Adam,592473,2022,11.4,10.1,0,1,69.5,11.9,2174,68,2167,17.7,16.3,2050,
Ray, Robbie,592662,2022,27.4,8.0,12,12,38.9,28.9,2282,60.2,2250,9.7,39.1,2186,
Sampson, Adrian,592716,2022,17.1,6.3,4,5,41.4,29.8,2075,70.8,2074,-11.1,15.8,2616,
Sanchez, Aaron,592717,2022,15.5,5.7,3,4,54.9,21.6,2140,60.8,2134,-14.7,28.4,2632,
Shreve, Chasen,592741,2022,25.4,8.8,1,1,40,26.7,2338,44.5,2338,10.7,18.4,2272,
Smith, Caleb,592761,2022,21.5,12.9,1,3,31.5,39.6,2429,45.6,2429,10.9,32.2,2339,
Smyly, Drew,592767,2022,20.4,5.8,7,8,40.6,25.2,,56.7,2139,6.5,42.9,2119,
Stanek, Ryne,592773,2022,27.7,13.8,2,1,38.9,29,2307,58.4,2307,-10.2,18.5,2513,
Syndergaard, Noah,592789,2022,16.8,5.5,10,10,43.2,26.4,2136,46.6,2129,-11.5,33.3,2146,
Taillon, Jameson,592791,2022,20.7,4.4,14,5,41.4,26.7,2370,57.9,2387,-5.6,33.6,2634,
Thornburg, Tyler,592804,2022,16.1,12.6,0,1,32.8,34.4,2405,58,2405,-6.5,28.2,2532,
Velasquez, Vince,592826,2022,21.6,7.8,3,3,36.3,35,2417,52,2393,-6.2,39.3,2441,
Walker, Taijuan,592836,2022,20.3,6.9,12,5,46.1,23.2,2149,47.5,2144,-9.7,25,2341,
Weiss, Zack,592848,2022,32.1,12.5,0,1,36.7,30,2460,37.3,2433,-4.7,62.7,2535,
Wick, Rowan,592858,2022,23.5,9.9,4,7,44.6,22.6,2255,73.2,2251,-1.6,26.7,2515,
Williams, Trevor,592866,2022,22.6,6.2,3,5,36.8,28,2242,65.4,2180,-8.6,21.5,2252,
German, Domingo,593334,2022,19.5,6.4,2,5,40.6,24.4,2539,39.5,2519,-13,37.3,2617,
Montas, Frankie,593423,2022,23.4,7.1,5,12,45.8,21.4,2356,59.3,2320,-8.2,15.3,2410,
Neris, Hector,593576,2022,30.0,6.5,6,4,34.8,31.7,2448,62.5,2415,-12.7,6.6,1975,
Tapia, Domingo,593619,2022,13.3,15.6,0,0,49.2,25.4,2275,68.3,2203,-15.4,15.4,2353,
Alberto, Hanser,593643,2022,2.1,6.4,0,0,19,50,,,,,,,
Rodriguez, Eduardo,593958,2022,18.4,8.7,5,5,44.2,29.3,2173,79.8,2173,6.1,4,2172,
Peralta, Wandy,593974,2022,21.1,7.6,3,4,55.7,20.9,2218,41.8,2189,16.7,15.7,2241,
Gustave, Jandel,594311,2022,22.5,9.2,2,0,47.5,22.5,2489,63.5,2391,-15.5,36.5,2379,
Mayers, Mike,594577,2022,20.2,8.1,1,1,38.6,32.3,2295,55.1,2290,-9.2,37.4,2163,
Moll, Sam,594580,2022,24.6,11.8,2,1,50,17.2,,44.6,2523,13.2,55.4,3182,
deGrom, Jacob,594798,2022,42.7,3.3,5,4,40.3,29.5,2516,47.4,2516,-9.5,44.4,2593,
Gonzales, Marco,594835,2022,13.2,6.4,10,15,42.9,27.4,1986,56.1,2001,8.7,13.4,2114,
Eickhoff, Jerad,595191,2022,14.8,3.7,0,1,42.1,26.3,,,,,,,
Okert, Steven,595345,2022,28.5,11.8,5,5,38.4,28.8,2235,31.9,2235,10,68.1,2486,
Beede, Tyler,595881,2022,13.7,10.2,2,5,50,19.8,2081,46.8,2104,-13.3,26.8,2065,
Ellis, Chris,595939,2022,8.0,24.0,0,0,50,31.3,,,,,,,
Junis, Jakob,596001,2022,20.5,5.2,5,7,43.6,25.1,2210,33.6,2197,-12.2,50.4,2475,
Mengden, Daniel,596043,2022,25.0,3.1,0,1,34.8,21.7,2101,62.2,2173,0.2,18.5,2406,
Norris, Daniel,596057,2022,26.4,11.6,2,4,46.6,23.6,2351,42.2,2332,9,29.8,2617,
Peters, Dillon,596071,2022,15.8,10.3,5,2,42.6,23.8,2305,50.3,2243,9.4,25.6,2678,
Reed, Jake,596082,2022,16.9,10.4,2,0,39.6,30.2,2322,53.7,2153,-16.2,44,2457,
Stephenson, Robert,596112,2022,22.3,5.7,2,2,27.1,34.5,2389,47.8,2389,-11.4,51.6,2914,
Weaver, Luke,596133,2022,21.8,7.5,1,1,40.8,18.3,2372,61.4,2371,-8.7,12.6,2285,
Lawrence, Casey,596271,2022,13.9,5.1,0,1,41.3,33.3,2229,35,2210,-12.9,36.4,2484,
Gomber, Austin,596295,2022,18.0,6.4,5,7,43,28.6,2156,40.7,2156,6.3,41.7,2435,
Barnes, Matt,598264,2022,19.3,11.9,0,4,44.9,30.5,2249,45.9,2249,-10.9,46.9,2049,
Ramirez, Noe,598287,2022,23.7,12.1,5,4,40,30.4,2187,37.6,2187,-10.4,31.4,2524,
Leclerc, Jose,600917,2022,27.3,10.6,0,3,29.2,35.8,2639,42.6,2659,-2.7,35.4,2583,
Machado, Andres,600921,2022,17.6,10.0,2,0,43.3,26.2,2113,64.4,2074,-11.4,20,2010,
Pivetta, Nick,601713,2022,22.6,9.4,10,12,38.5,27.3,2310,51,2310,-5.1,46.7,2546,
Barlow, Scott,605130,2022,26.6,7.6,7,4,47.3,27.1,2394,24.3,2391,-3.9,75.7,2490,
Bassitt, Chris,605135,2022,22.4,6.6,15,9,49.7,23.9,2191,63.8,2172,-8.9,30.2,2331,
Bradley, Archie,605151,2022,19.2,9.0,0,1,58.9,21.4,2188,57,2136,-12.6,27.2,1968,
Brebbia, John,605154,2022,18.8,6.3,6,2,37.2,30.7,2309,46.2,2309,-10.1,53.8,2548,
Brooks, Aaron,605156,2022,16.3,4.7,0,0,39.4,36.4,2126,48.7,2046,-13.9,26.6,2476,
Bundy, Dylan,605164,2022,15.8,4.7,8,8,34.5,32.6,2352,46.7,2329,-5.7,34.6,2325,
Chafin, Andrew,605177,2022,27.6,7.8,2,3,52.6,22.1,2138,67.7,2120,12.8,31.9,2485,
Clevinger, Mike,605182,2022,18.8,7.2,7,7,36.1,35,2300,66.3,2325,-7,24,2417,
Cotton, Jharel,605194,2022,21.5,11.0,4,2,30,36.7,2263,44.7,2263,-8.3,15,2494,
Crick, Kyle,605195,2022,28.8,16.7,2,0,32.4,23.5,2321,42.7,2159,-12.9,57.3,3053,
Davies, Zach,605200,2022,17.9,9.1,2,5,43.7,29.2,,59.9,2090,-13.9,6.8,2571,
Edwards Jr., Carl,605218,2022,21.9,9.8,6,3,48.3,24.7,2522,67.9,2522,1.7,22.6,2120,
Fulmer, Michael,605242,2022,22.1,10.1,5,6,35.2,27.5,2301,28.5,2249,-9.1,65.5,2415,
Holmes, Clay,605280,2022,25.0,7.7,7,4,77,6.1,2266,80.2,2208,-16.8,19.8,2561,
Houser, Adrian,605288,2022,15.2,10.3,6,10,47.5,19.3,2214,65.4,2114,-14.4,25.1,2134,
Lopez, Jorge,605347,2022,24.2,10.4,4,7,58.5,17.6,2068,55,1997,-16.6,29.5,2420,
Musgrove, Joe,605397,2022,24.9,5.7,10,7,45.9,22.8,2559,50.2,2551,-3.1,43.5,2718,
Nola, Aaron,605400,2022,29.1,3.6,11,13,44.2,24.3,2308,58.7,2262,-12.8,26.5,2589,
Rodriguez, Dereck,605446,2022,11.8,11.8,0,1,53.8,38.5,,,,,,,
Romano, Jordan,605447,2022,28.3,8.1,5,4,44.7,28.9,2289,48.2,2290,-5.4,51.8,2082,
Scott, Tayler,605463,2022,22.0,10.2,0,1,47.5,17.5,2221,42,2227,-14.1,56.5,2769,
Snell, Blake,605483,2022,32.0,9.5,8,10,37.3,30.5,2434,55.5,2434,5.2,39.4,2354,
Springs, Jeffrey,605488,2022,26.2,5.6,9,5,41.2,26.1,2254,40.5,2255,11.4,24.8,2188,
Thompson, Zach,605507,2022,16.6,8.5,3,10,45.8,21.8,2386,70.6,2431,-1.8,20.9,2244,
Warren, Art,605521,2022,24.2,13.3,2,3,36.6,32.7,2250,41.7,2250,-5.7,58.3,2513,
Wendelken, J.B.,605525,2022,17.2,11.5,2,1,44.2,27.9,2442,60.2,2400,-6.2,23.6,2656,
Wisler, Matt,605538,2022,19.9,8.0,3,3,26.8,40.2,1953,8.5,1953,-10.1,91.5,2477,
Woodruff, Brandon,605540,2022,30.6,6.8,13,4,38.3,30.2,2350,59.9,2327,-8.8,23.8,2455,
Perdomo, Luis,606131,2022,12.5,3.1,3,0,61.3,16.3,,56.1,1986,-16.2,27.7,2332,
Gallegos, Giovanny,606149,2022,31.1,7.7,3,6,28.5,37.5,2386,47.9,2386,-7.5,47.2,2475,
Montero, Rafael,606160,2022,27.0,8.5,5,2,52.9,18,2335,68.4,2301,-11.6,12.2,2345,
Elias, Roenis,606273,2022,18.2,9.1,0,0,50,25,2254,43,2255,7.1,22.8,2321,
Payamps, Joel,606303,2022,17.0,6.6,3,6,54.4,17.6,2422,50.2,2352,-12,36.1,2718,
Garcia, Jarlin,606424,2022,20.7,6.7,1,4,40,31.3,2201,42.9,2201,14.8,28.3,2251,
Moronta, Reyes,606625,2022,23.6,11.2,2,2,34,31.1,2351,53.4,2351,-6.1,37,2491,
Barnes, Jacob,606930,2022,12.4,9.3,3,1,51.4,21.6,2406,90.3,2367,1.4,9.7,2170,
Devenski, Chris,606965,2022,17.9,1.5,2,1,41.5,30.2,2179,43.6,2179,-9,16.2,2177,
Rodon, Carlos,607074,2022,33.4,7.3,14,8,35.3,29.5,2349,61.2,2349,6,36.9,2448,
Weems, Jordan,607179,2022,24.7,7.2,0,1,35.4,36.3,2134,63.8,2134,-6.8,27,2229,
Glasnow, Tyler,607192,2022,38.5,7.7,0,0,35.7,35.7,2450,53.5,2450,-2,46.5,2705,
Fedde, Erick,607200,2022,16.4,10.1,6,13,42.8,24,,67.7,1977,-4.5,28.7,2389,
Krehbiel, Joey,607216,2022,18.4,7.4,5,5,42.1,27.5,2175,63.1,2305,-2.5,3.8,2478,
Gsellman, Robert,607229,2022,14.1,4.7,0,2,42.3,26.9,2039,56,1937,-17.3,32.4,2203,
Garrett, Amir,607237,2022,25.0,16.3,3,1,40,25.5,2227,43.5,2222,11.6,56.5,1848,
Martinez, Nick,607259,2022,21.2,9.2,4,4,48.1,24.7,2336,58.6,2352,-6.4,15.9,2605,
Patton, Spencer,607359,2022,17.2,10.3,0,0,52.6,21.1,1994,48.6,1994,-8.6,38.7,1896,
Mazza, Chris,607391,2022,14.3,17.1,1,0,40.9,31.8,2053,63,2057,-5.9,31.9,2300,
Banda, Anthony,607455,2022,22.2,9.6,1,1,33.3,24.4,2126,52.6,2095,13.5,10,1996,
Barraclough, Kyle,607457,2022,24.3,10.8,0,1,25,37.5,2407,54.7,2406,-6,45.3,2403,
Bummer, Aaron,607481,2022,25.6,8.5,2,1,64,9.3,,72.2,2099,12,27.1,2488,
Freeland, Kyle,607536,2022,17.1,6.9,9,11,43.1,26.9,2389,45.3,2374,9.3,40.7,2407,
Lugo, Seth,607625,2022,25.4,6.6,3,2,46.2,27.5,2243,50.8,2275,-11.4,47.5,3022,
Means, John,607644,2022,20.6,5.9,0,0,36,20,2386,42.2,2386,8.1,26.7,2233,
